ligne;course;dow;first_time;med_time;nb_courses;first_date;last_date;created_at
45;3948313;2;"08:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948313;3;"08:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948313;4;"08:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948313;5;"08:00:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948314;1;"08:06:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948314;2;"08:06:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948314;3;"08:06:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948314;4;"08:06:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948314;5;"08:06:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948315;1;"08:11:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948315;2;"08:11:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948315;3;"08:11:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948315;4;"08:11:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948315;5;"08:11:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948316;1;"08:17:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948316;2;"08:17:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948316;3;"08:17:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948316;4;"08:17:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948316;5;"08:17:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948317;1;"08:22:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948317;2;"08:22:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948317;3;"08:22:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948317;4;"08:22:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948317;5;"08:22:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948318;1;"08:28:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948318;2;"08:28:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948318;3;"08:28:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948318;4;"08:28:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948318;5;"08:28:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948319;1;"08:33:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948319;2;"08:33:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948319;3;"08:33:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948319;4;"08:33:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
45;3948319;5;"08:33:00";"21:00:00";1;"2021-09-21";"2021-09-21";"2021-09-21 01:26:21.304590"
